Date,Dose1,Dose2
2020-12-13,124864.88105305505,40139.593210963874
2020-12-14,131368.42685399597,42450.81450118819
2020-12-15,138140.26982593338,44874.67115527441
2020-12-16,145187.15995792297,47415.32391099565
2020-12-17,152515.7621377623,50077.006003605646
2020-12-18,160132.63788287053,52864.01934369973
2020-12-19,168044.22641428703,55780.73031894193
2020-12-20,176256.82509994245,58831.565210335626
2020-12-21,184776.56929697833,62021.00521445476
2020-12-22,193609.41162655808,65353.58106386988
2020-12-23,202761.1007183354,68833.8672388888
2020-12-24,212237.15946548624,72466.47576469777
2020-12-25,222042.86283496072,76256.04958902384
2020-12-26,232183.21528136166,80207.2555365511
2020-12-27,242662.9278165739,84324.77683750942
2020-12-28,253486.39479094776,88613.30522910743
2020-12-29,264657.67044545215,93077.53262981313
2020-12-30,276180.44529775006,97722.14238787677
2020-12-31,288058.02242857043,102551.80010695817
2021-01-01,300293.29373806407,107571.14405324086
2021-01-02,312888.7162449853,112784.77515000862
2021-01-03,325846.28850454226,118197.24656729674
2021-01-04,339167.5272235595,123813.05291593104
2021-01-05,352853.4441542079,129636.61905701252
2021-01-06,366904.5233499151,135672.2885396875
2021-01-07,381320.69886920234,141924.31168187782
2021-01-08,396101.33301503974,148396.83331049336
2021-01-09,411245.19519887544,155093.8801795427
2021-01-10,426750.4415197493,162019.34808645057
2021-01-11,442614.59514982975,169176.9887088122
2021-01-12,458834.52761829516,176570.3961857327
2021-01-13,475406.4410857059,184202.99346980976
2021-01-14,492325.8517008692,192078.01847773118
2021-01-15,509587.57413165405,200198.51006933427
2021-01-16,527185.7073602836,208567.29388683586
2021-01-17,545113.6218322903,217186.96808775654
2021-01-18,563363.9480465454,226059.88900683314
2021-01-19,581928.5666715995,235188.15678393026
2021-01-20,600798.6002709486,244573.60099660733
2021-01-21,619964.4067167946,254217.76633757274
2021-01-22,639415.5743683894,264121.89837874327
2021-01-23,659140.9190871489,274286.92946501914
2021-01-24,679128.4831563783,284713.4647821752
2021-01-25,699365.5361687103,295401.76864444173
2021-01-26,719838.5779391838,306351.751048398
2021-01-27,740533.343496333,317562.95454072265
2021-01-28,761434.8101977117,329034.54144811915
2021-01-29,782527.2070099562,340765.28151836124
2021-01-30,803794.0259868244,352753.54002187564
2021-01-31,825218.0359716543,364997.2663635727
2021-02-01,846781.2985433781,377493.9832547754
2021-02-02,868465.1862176455,390240.7764950377
2021-02-03,890250.4029067683,403234.28541340795
2021-02-04,912117.0066341344,416470.69401826547
2021-02-05,934044.4344904958,429945.72290423024
2021-02-06,956011.5298110959,443654.6219638188
2021-02-07,977996.5715440882,457592.163950492
2021-02-08,999977.3057720524,471752.6389384954
2021-02-09,1021930.979339751,486129.8497234605
2021-02-10,1043834.3755325673,500717.10820606543
2021-02-11,1065663.8517414206,515507.23279920657
2021-02-12,1087395.37904136,530492.546897051
2021-02-13,1109004.5836025593,545664.8784420736
2021-02-14,1130466.7898441157,561015.5606237015
2021-02-15,1151757.0652329251,576535.4337395193
2021-02-16,1172850.266622013,592214.8482471178
2021-02-17,1193721.0880150865,608043.6690316239
2021-02-18,1214344.1096367792,624011.280910716
2021-02-19,1234693.8481811176,640106.5953955316
2021-02-20,1254744.8081042056,656318.0587223133
2021-02-21,1274471.5338210103,672633.6611659322
2021-02-22,1293848.6626605038,689040.9476425772
2021-02-23,1312850.97842828,705527.0296049287
2021-02-24,1331453.4654211726,722078.5982290396
2021-02-25,1349631.3627343778,738681.9388879775
2021-02-26,1367360.2186981435,755322.946902993
2021-02-27,1384615.945278276,771987.1445586554
2021-02-28,1401374.872272538,788659.6993640059
2021-03-01,1417613.8011335013,805325.443537347
2021-03-02,1433310.0582475662,821968.8946878548
2021-03-03,1448441.5474997177,838574.2776627576
2021-03-04,1462986.8019541237,855125.5475243976
2021-03-05,1476925.0344819373,871606.4136171194
2021-03-06,1490236.187169602,888000.3646795909
2021-03-07,1502900.9793436283,904290.694953924
2021-03-08,1514900.954051153,920460.5312387937
2021-03-09,1526218.5228396445,936492.8608297261
2021-03-10,1536837.0086838263,952370.5602858042
2021-03-11,1546740.6869132887,968076.4249582944
2021-03-12,1555914.8240002717,983593.1992131004
2021-03-13,1564345.714073752,998903.6072755591
2021-03-14,1572020.7130332063,1013990.3846228917
2021-03-15,1578928.2701432244,1028836.3098466542
2021-03-16,1585057.9569984819,1043424.2369047942
2021-03-17,1590400.4937574116,1057737.127680438
2021-03-18,1594947.7725522078,1071758.084762313
2021-03-19,1598692.8779924968,1085470.384359777
2021-03-20,1601630.104690102,1098857.5092637783
2021-03-21,1603754.9717427383,1111903.1817637254
2021-03-22,1605064.2341251653,1124591.3964292188
2021-03-23,1605555.8909472714,1136906.4526648854
2021-03-24,1605229.1905496658,1148832.98694617
2021-03-25,1604084.6324186188,1160356.0046438938
2021-03-26,1602123.9659135179,1171460.9113456735
2021-03-27,1599350.1858113827,1182133.5435829211
2021-03-28,1595767.5246843158,1192360.198873117
2021-03-29,1591381.4421370532,1202127.6649883466
2021-03-30,1586198.610942919,1211423.248362749
2021-03-31,1580226.9001274633,1220234.801553498
2021-04-01,1573475.3550598114,1228550.749672247
2021-04-02,1565954.1746222316,1236360.1157066051
2021-04-03,1557674.6855385725,1243652.5446541542
2021-04-04,1548649.3139520192,1250418.3263947726
2021-04-05,1538891.5543519873,1256648.417230571
2021-04-06,1528415.935958906,1262334.460026574
2021-04-07,1517237.986684077,1267468.8028893804
2021-04-08,1505374.1947897072,1272044.516325358
2021-04-09,1492841.9683815755,1276055.4088245367
2021-04-10,1479659.5928735493,1279496.040821135
2021-04-11,1465846.1865693303,1282361.7369866616
2021-04-12,1451421.6545123144,1284648.5968167034
2021-04-13,1436406.6407593105,1286353.5034778488
2021-04-14,1420822.4792380433,1287474.1308866485
2021-04-15,1404691.1433518569,1288008.9489981178
2021-04-16,1388035.1944978356,1287957.2272869446
2021-04-17,1370877.7296666456,1287319.0364103164
2021-04-18,1353242.3282938001,1286095.2480470706
2021-04-19,1335152.9985327215,1284287.5329136776
2021-04-20,1316634.1231199743,1281898.35696338
2021-04-21,1297710.4050023337,1278930.9757805907
2021-04-22,1278406.8128939723,1275389.4271883883
2021-04-23,1258748.526930004,1271278.5220926036
2021-04-24,1238760.884579944,1266603.8335915639
2021-04-25,1218469.3269813205,1261371.6843859954
2021-04-26,1197899.3458497701,1255589.1325289037
2021-04-27,1177076.4311174692,1249263.9555603783
2021-04-28,1156026.0194467234,1242404.633077245
2021-04-29,1134773.4437600037,1235020.327792238
2021-04-30,1113343.8839217029,1227120.8651419047
2021-05-01,1091762.3187004337,1218716.7115067584
2021-05-02,1070053.4791338276,1209818.9511112408
2021-05-03,1048241.8034105613,1200439.2616748295
2021-05-04,1026351.393376798,1190589.8888891246
2021-05-05,1004405.972766375,1180283.6197989425
2021-05-06,982428.8472459967,1169533.7551683402
2021-05-07,960442.8663583975,1158354.0809150701
2021-05-08,938470.3874379953,1146758.838699211
2021-05-09,916533.2415649764,1134762.695753653
2021-05-10,894652.7016151224,1122380.7140456918
2021-05-11,872849.4524539844,1109628.3188602382
2021-05-12,851143.563315347,1096521.2668960604
